text,favoriteCount
@ItThuthukaM Aw Harry Potter,0
"@simon_sabin @greglow That is maybe true, but Greg is ""da man"". :) - seriously though, and it might be coincidence, https://t.co/fkvztfLL4c",0
"@SirRandomTask Its ok, post today and they thought it was their harry potter knitting book in my name so opened it. https://t.co/8Q9e7MeyPX",0
@shreyabasu003 The Harry Potter series is right there. What do you mean???,0
@writingbych @SeriaViri @JustJuju18 @whooshnoise @mikeydah @monsterserenade @shreyabasu003 jabbing at someone who m https://t.co/ILkhESOXm3,0
does anyone know where you can watch the whole Harry Potter series for free online?? seems like a good time for a marathon,0
my harry potter backpack just chilling in the second pic https://t.co/6S0wRU4OGx,0
"@missskwps @Kirkcaldywestps Top 3 things about my Easter holidays - 1. My birthday and the cake  , 2. Reading Harr https://t.co/PlqeENKtld",0
"@JessSFrankel @Travis_Borne @wgevans @cw_hawes @joanne_paulson @d_ast777 Thanks, Jesse. 5 nevers and 5 friends.
I h https://t.co/wRTvbzW7lc",0
"liking YA fiction is fine, liking the harry potter franchise is not. choke on your primark merch and suck my fucking dick",0
"@JadeRK_ @Vanjshed @LarSheen Its like harry potter hogwarts houses. Slytherin,hufflepuff,gryffindor and ravenclaw-",0
"Welbeck Bedtime Stories - Harry Potter - Part 5 - Read by Miss Sigsworth
For video please go to: https://t.co/hDpbWl04U5",0
Anyone wanna watch the entire Harry Potter Movie Series,1
"Coming up in March Madness: Book Edition: The Final Four!

Harry Potter and the Chamber of Secrets (J. K. Rowling) https://t.co/9HVEQYHZq1",0
Is it really cyberbullying if they put their Harry Potter house in their hinge profile,0
"You are a powerful, energetic Marowak, and you are Harry Freaking Potter.",0
"Get Paid $1,000 To Binge-Watch Harry Potter Movies https://t.co/c9teBT3QTC via @projectcasting",0
@JoshBreslowWKRN @WKRN @SteveCarell Professor Snape from Harry Potter.,1
harry potter and the seven dwarves.,0
@signor_bobby Harry Potter,0
From Harry Potter at Home to the National Shelf Service: bookish fun for the lockdown https://t.co/fHFdBu384W,0
lavender brown is the best character in harry potter and you cant change my mind,0
"@ladymultifandom harry potter, btvs, period drama, game of thrones, lotr, marvel, twilight, narnia !",0
Giving me paintings from Harry Potter vibes https://t.co/ZKBvtvqLjw,0
"We were driving in Kruger and in the distance, I thought I saw a person in a tree. Looking through my binoculars I https://t.co/ZZCQo19m38",5
@70splant a guy in eighth grade found out i liked harry potter and showed up to school in hufflepuff robes for like a month ,0
